@relation MyRelation

@attribute car_spec {E}
@attribute prec1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute prec2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv3_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute classe {ajout_y,supp_esp}

@data
$,H,k,-,-,-,n,k,H,$,ajout_y
$,H,k,-,-,-,t,k,H,$,ajout_y
$,H,k,-,-,-,y,k,H,$,ajout_y
$,t,y,-,-,-,k,H,t,$,ajout_y
$,A,n,-,-,-,k,H,A,$,ajout_y
$,H,k,-,-,-,k,H,H,$,ajout_y
$,t,H,-,-,-,k,H,t,$,ajout_y
$,S,g,-,-,-,n,g,S,$,ajout_y
$,S,g,-,-,-,t,g,S,$,ajout_y
$,S,g,-,-,-,y,g,S,$,ajout_y
$,t,y,-,-,-,g,S,t,$,ajout_y
$,A,n,-,-,-,g,S,A,$,ajout_y
$,S,g,-,-,-,g,S,S,$,ajout_y
$,t,S,-,-,-,g,S,t,$,ajout_y
$,l,T,-,-,-,n,T,l,$,ajout_y
$,l,T,-,-,-,t,T,l,$,ajout_y
$,l,T,-,-,-,y,T,l,$,ajout_y
$,t,y,-,-,-,T,l,t,$,ajout_y
$,A,n,-,-,-,T,l,A,$,ajout_y
$,l,T,-,-,-,T,l,l,$,ajout_y
$,t,l,-,-,-,T,l,t,$,ajout_y
$,g,n,$,-,-,n,g,$,$,ajout_y
$,g,t,$,-,-,t,g,$,$,ajout_y
$,g,y,$,-,-,y,g,$,$,ajout_y
$,g,-,y,t,$,g,$,t,$,ajout_y
$,g,-,y,n,A,g,$,A,$,ajout_y
$,g,-,$,-,-,g,$,$,$,ajout_y
$,g,-,t,$,-,g,$,t,$,ajout_y
$,n,-,k,$,-,n,$,k,$,ajout_y
$,t,-,k,$,-,t,$,k,$,ajout_y
$,y,-,k,$,-,y,$,k,$,ajout_y
$,-,-,k,y,t,$,k,t,$,ajout_y
$,-,-,k,y,n,$,k,A,$,ajout_y
$,-,-,k,$,-,$,k,k,$,ajout_y
$,-,-,k,t,$,$,k,t,$,ajout_y
$,f,T,-,-,-,n,T,f,$,ajout_y
$,f,T,-,-,-,t,T,f,$,ajout_y
$,f,T,-,-,-,y,T,f,$,ajout_y
$,t,y,-,-,-,T,f,t,$,ajout_y
$,A,n,-,-,-,T,f,A,$,ajout_y
